id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.81 1						
149959	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149960	x	?	?	?	?	
# KTU 1.81 2						
149961	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149962	p	p(I); p(III)/; p(II)	p (I); p (III); p (II)	conj. functor; n. m.; adv.	and; mouth; here	
# KTU 1.81 3						
149963	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149964	ˤṯ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.81 4						
149965	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149966	mš	?	?	?	?	DULAT: NOT FOUND
# KTU 1.81 5						
149967	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149968	ilt	il(t(I)/t	ỉlt (I)	n. f.	goddess	
# KTU 1.81 6						
149969	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149970	bˤlt	bˤl(t/t	bʕlt	n. f.	lady	
# KTU 1.81 7						
149971	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149972	il	il(I)/	ỉl (I)	n. m.	god	
149973	bt	bt(II)/;b(t(I)/t	bt (II); bt (I)	n. m.; n. f.	house; daughter	
# KTU 1.81 8						
149974	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149975	ilt	il(t(I)/t	ỉlt (I)	n. f.	goddess	
149976	bt	bt(II)/;b(t(I)/t	bt (II); bt (I)	n. m.; n. f.	house; daughter	
# KTU 1.81 9						
149977	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149978	ḥtk	ḥtk(II)/	ḥtk (II)	n. m.	lineage	
149979	dgn	dgn(I)/	dgn (I)	n. m.	grain	
# KTU 1.81 10						
149980	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149981	ršp	ršp/	ršp	DN	Rašap	
149982	xng	?	?	?	?	DULAT: NOT FOUND
149983	kbb	kbb	kbb	?	?	
# KTU 1.81 11						
149984	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149985	ršp	ršp/	ršp	DN	Rašap	
149986	n	~n; [n, [n=; +n, +n=;	-n (I); -n (II); -n (III); -n (IV)	encl. morph.; suffixed pn. morph. used with vb; suff. pn. morph. 1.p.pl.; contracted suff. pn. morph. used with a vb	; me/to me; our/us; him/her/it	
# KTU 1.81 12						
149987	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149988	ilt	il(t(I)/t	ỉlt (I)	n. f.	goddess	
149989	qbl	qbl	qbl		battle	
# KTU 1.81 13						
149990	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149991	arṣy	arṣ/+y(I); arṣ/+y(II)	ảrṣ, -y (I); ảrṣ, -y (II)	n. f., prep.; n. f., postp. functor	earth, my; earth, yes	
# KTU 1.81 14						
149992	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
149993	xxrḫx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.81 15						
149994	xxxxḥl	?	?	?	?	DULAT: NOT FOUND
# KTU 1.81 16						
149995	xxxxmgmr	?	?	?	?	DULAT: NOT FOUND
# KTU 1.81 17						
149996	xxxxqdšt	?	?	?	?	DULAT: NOT FOUND
